timestamp,from_unixtime(timestamp),sid,mysql_version,metric_file,Latency,result
1674175712,2023-01-20 00:48:32,2638,MySQL 5.7.41,2023-01-20/0184ddf0-6922-4814-aa79-d2cbca7b06f7.json,8.182,10;ON;150000;21;22548578304;all;200;2818572288;75.000000;0.000000;1;0;25165824;8;null;0;32768;200;279;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;1;30;8000000;2000000000;2;2000;50;16777216;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;262144;31536000;18446744073709547520;104857600;18446744073709547520;20;20;18446744073709551615;1024;18446744073709551615;1024;0;32;18446744073709551615;1024;1;62;32768;8192;16777216;4096;134217728;ON;OFF;8192;4096;131072;262144;512;300;0;16777216;262144;256;1400;2000;16;196608;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;4;128;8388608;31536000;OFF;DATABASE
1674205411,2023-01-20 09:03:31,7,MySQL 5.7.34,2023-01-20/018e39a6-ef4d-495c-a880-61767ea9723d.json,29.203,10;ON;150000;2;2147483648;all;200;268435456;75.000000;0.000000;1;0;268435456;8;null;0;32768;200;328;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;1;30;8000000;2000000000;2;2000;50;33554432;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;8388608;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;1024;18446744073709551615;1024;0;32;18446744073709551615;1024;1;0;32768;8192;16777216;4096;134217728;ON;OFF;8192;4096;1048576;4194304;512;300;0;16777216;1048576;256;1664;2395;16;262144;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;2;128;8388608;31536000;OFF;DATABASE
1673470822,2023-01-11 21:00:22,431,MySQL 5.7.34,2023-01-11/01a131e9-866b-4e29-b5f9-38fbc9369954.json,22.2406667,10;ON;150000;1;1073741824;all;200;134217728;75.000000;0.000000;1;0;16777216;8;null;0;32768;200;279;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;1;30;8000000;2000000000;2;2000;50;5242880;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;8388608;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;1024;18446744073709551615;1024;0;32;18446744073709551615;1024;1;62;32768;8192;16777216;4096;134217728;ON;OFF;8192;4096;1048576;4194304;512;300;0;16777216;1048576;256;1664;2419;16;262144;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;1;128;8388608;31536000;OFF;DATABASE
1675026389,2023-01-29 21:06:29,7,MySQL 5.7.34,2023-01-29/01f004ad-9b85-4f75-b336-2f429f0bcd18.json,27.116,10;ON;150000;2;2147483648;all;200;268435456;75.000000;0.000000;1;0;268435456;8;null;0;32768;200;328;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;1;30;8000000;2000000000;2;2000;50;33554432;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;8388608;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;1024;18446744073709551615;1024;0;32;18446744073709551615;1024;1;0;32768;8192;16777216;4096;134217728;ON;OFF;8192;4096;1048576;4194304;512;300;0;16777216;1048576;256;1664;2395;16;262144;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;2;128;8388608;31536000;OFF;DATABASE
1673514024,2023-01-12 09:00:24,190,MySQL 5.7.21,2023-01-12/02086340-947d-4893-b582-27c1e10fdb5a.json,3.467,10;ON;150000;8;8589934592;all;200;1946157056;75.000000;0.000000;1;0;268435456;8;null;0;32768;200;279;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;1;30;8000000;2000000000;2;2000;50;16777216;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;16777216;31536000;18446744073709547520;104857600;18446744073709547520;20;20;18446744073709551615;1024;18446744073709551615;1024;0;32;18446744073709551615;1024;1;0;32768;8192;16777216;4096;134217728;ON;OFF;8192;4096;131072;262144;512;300;0;16777216;262144;256;65920;130991;16;196608;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;4;128;8388608;31536000;OFF;DATABASE
1674734494,2023-01-26 12:01:34,2629,MySQL 5.7.42,2023-01-26/0218657f-41e3-4be6-b248-64e3ad3730ed.json,11.5073167,10;ON;150000;8;38654705664;all;200;1073741824;75.000000;0.000000;1;0;16777216;500;null;0;32768;200;703;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;1;30;8000000;2000000000;2;2000;50;33554432;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;64;0;128;1048576;6;30;10000;ON;64;524288;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;1024;18446744073709551615;1024;0;32;18446744073709551615;1024;1;62;32768;8192;1048576;4096;1048576;OFF;OFF;8192;4096;131072;262144;512;300;0;16777216;262144;256;1147;1495;5;196608;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;4;128;8388608;31536000;OFF;DATABASE
1674691292,2023-01-26 00:01:32,2629,MySQL 5.7.42,2023-01-26/026d5340-0745-4274-9c82-e8d8544d7167.json,342.338,10;ON;150000;8;38654705664;all;200;1073741824;75.000000;0.000000;1;0;16777216;500;null;0;32768;200;703;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;1;30;8000000;2000000000;2;2000;50;33554432;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;64;0;128;1048576;6;30;10000;ON;64;524288;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;1024;18446744073709551615;1024;0;32;18446744073709551615;1024;1;62;32768;8192;1048576;4096;1048576;OFF;OFF;8192;4096;131072;262144;512;300;0;16777216;262144;256;1147;1495;5;196608;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;4;128;8388608;31536000;OFF;DATABASE
1673948471,2023-01-17 09:41:11,2634,MySQL 5.7.29,2023-01-17/02a02c36-aea9-4876-a3c8-02592ec1236f.json,15975.453,10;ON;150000;8;8589934592;all;200;2147483648;75.000000;0.000000;1;0;16777216;32;null;0;32768;200;279;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;1;30;8000000;2000000000;2;2000;50;16777216;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;262144;31536000;18446744073709547520;104857600;18446744073709547520;20;20;18446744073709551615;1024;18446744073709551615;1024;0;32;18446744073709551615;1024;1;62;32768;8192;16777216;4096;134217728;ON;OFF;8192;4096;131072;262144;512;300;0;16777216;262144;256;1400;2000;16;196608;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;4;128;8388608;31536000;OFF;DATABASE
1675026112,2023-01-29 21:01:52,431,MySQL 5.7.34,2023-01-29/02acd2a0-e078-4f4e-bf45-0d57384c7c76.json,22.0893333,10;ON;150000;1;1073741824;all;200;134217728;75.000000;0.000000;1;0;16777216;8;null;0;32768;200;279;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;1;30;8000000;2000000000;2;2000;50;5242880;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;8388608;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;1024;18446744073709551615;1024;0;32;18446744073709551615;1024;1;62;32768;8192;16777216;4096;134217728;ON;OFF;8192;4096;1048576;4194304;512;300;0;16777216;1048576;256;1664;2419;16;262144;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;1;128;8388608;31536000;OFF;DATABASE
1673644351,2023-01-13 21:12:31,180,MySQL 5.7.33,2023-01-13/02dd80e6-6c7d-4a5f-911a-f8748198e343.json,5.167,10;ON;150000;35;37580963840;all;200;5368709120;75.000000;0.000000;1;0;268435456;16;null;0;32768;200;633;ON;64;OFF;ON;OFF;25;0;5;6;50;5000;1;1;30;8000000;2000000000;2;2000;50;134217728;1024;0;0;37;1000;134217728;16384;300;4;OFF;56;4;0;128;1048576;6;30;10000;ON;4;8388608;31536000;18446744073709547520;1073741824;18446744073709547520;20;20;18446744073709551615;1024;18446744073709551615;1024;0;32;18446744073709551615;1024;1;62;32768;8192;16777216;4096;134217728;ON;OFF;8192;4096;131072;16777216;512;300;0;16777216;16777216;256;261888;522703;16;262144;8192;null;0;8;134217728;25;OFF;ON;640000000;8192;1073741824;4;128;8388608;31536000;OFF;DATABASE
